id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
961483302102005269,Sekelskifteshus nära tunnelbana,34723501,Annie,,Hägersten-Liljeholmens,59.30169,17.95332,Entire home/apt,1500.0,3,11,2025-08-04,0.44,1,40,3,
961667925861017249,Waterfront studio w/ balcony,135323554,Hans Olof,,Kungsholmens,59.3299,17.9994783,Entire home/apt,668.0,3,106,2025-09-20,4.16,30,290,58,
962378145779878107,The cozy corner,492721802,Salim,,Enskede-Årsta-Vantörs,59.26237670040436,18.02926757778926,Private room,400.0,1,0,,,1,268,0,
962802345364098768,Studio apartment on Södermalm,162536727,Akif,,Södermalms,59.31576,18.05204,Entire home/apt,758.0,60,11,2025-06-19,0.45,1,244,3,
963562808005637820,Mysig etta i pulsen på Söder,533236549,Stephanie,,Södermalms,59.30896773050276,18.077723420561345,Entire home/apt,1350.0,1,1,2023-10-01,0.04,1,267,0,
963585965219211159,Lovely studio at Södermalm,271346174,StayPlus,,Södermalms,59.31515807539385,18.055990884762213,Entire home/apt,1005.0,3,58,2024-12-08,2.33,50,130,7,
963644492846053563,Petite studio in popular Södermalm,60382478,Elias,,Södermalms,59.3170724,18.0660829,Entire home/apt,689.0,1,244,2025-09-27,9.93,36,363,194,
964333717986819771,Top floor apartment with balcony,529212816,AnaMaria,,Östermalms,59.34689,18.06771,Entire home/apt,2070.0,2,50,2025-09-19,2.26,2,34,29,
965057532185049630,40 sqm Corner Studio with large windows,428239101,Unity,,Södermalms,59.3027348,18.0941441,Private room,1311.0,1,0,,,4,327,0,
965224664237208346,Nice big apartment,26906292,Fredrik,,Östermalms,59.3512,18.06208,Entire home/apt,2100.0,1,2,2025-06-01,0.15,1,269,1,
965707645648617166,2 Bedroom Apartment Gamla Stan,362541894,ApartDirect,,Södermalms,59.324915,18.0734227,Entire home/apt,3411.0,2,80,2025-09-28,3.16,23,258,33,
965862681498810227,Centralt belägen villa i Stockholm,455358293,Johan,,Hägersten-Liljeholmens,59.29574,17.96231,Entire home/apt,4050.0,4,4,2025-08-19,0.16,1,362,1,
967402552409351027,mysig lägenhet på Södermalm,149604448,Nils,,Södermalms,59.314315901836906,18.081033157672117,Entire home/apt,1086.0,2,19,2025-08-30,0.8,1,4,9,
967455640667794754,Sunny studio apartment,21088987,Olivia,,Södermalms,59.31025,18.08109,Entire home/apt,1338.0,3,17,2025-04-25,0.97,1,5,8,
967519199851323214,Cosy bright room with large desktop & golf theme,23541339,Christian,,Bromma,59.334911363873445,17.953466014059906,Private room,367.0,1,8,2025-07-31,0.32,4,155,1,
968489266839691286,Hotel at old town Lägenhet Standard Twin,534441719,Hotel,,Södermalms,59.32529,18.06975,Entire home/apt,2610.0,1,67,2025-08-29,2.74,3,359,19,
968538377278727142,Hotel at old town Queen room,534441719,Hotel,,Södermalms,59.32569,18.07094,Entire home/apt,2070.0,1,4,2025-06-08,0.17,3,347,1,
968554740368817232,Hotel at old town Lägenhet Standard Queen room,534441719,Hotel,,Södermalms,59.32414,18.06962,Entire home/apt,2610.0,1,30,2025-08-17,1.24,3,345,12,
970346068234344382,"Cheap apartment ,close to center",481457405,Даниил,,Bromma,59.3305102,17.9496522,Entire home/apt,1356.0,5,0,,,1,269,0,
970365950446471302,Comfy Private Room 10 min from Downtown Stockholm,534876434,Nadejda,,Älvsjö,59.28657,18.01406,Private room,386.0,2,73,2025-09-21,3.25,1,12,38,
970407165999860276,Modern villa nära city och bad,12579318,Niklas,,Hägersten-Liljeholmens,59.3005573290782,17.94617237572905,Entire home/apt,2975.0,5,5,2025-07-31,0.23,1,15,1,
971049012659631886,Guest house in a quite neighborhood,106474639,Ngan,,Älvsjö,59.282500575077165,18.039367385208607,Entire home/apt,603.0,1,63,2025-09-25,2.51,1,166,43,
972243335433743038,Stockholm Kungsholmen rum natt,535254372,Anne,,Kungsholmens,59.33423962973467,18.02884780076628,Private room,544.0,1,116,2025-09-23,4.63,1,51,43,
972806777445294691,Skön och mysig 60'tals pärla,7003366,Marc,,Hägersten-Liljeholmens,59.30761,18.0183,Entire home/apt,1377.0,2,17,2025-07-27,0.76,1,139,8,
973051219632826622,Tiny studio 20 min from city centre,135323554,Hans Olof,,Enskede-Årsta-Vantörs,59.2697181,18.0432184,Entire home/apt,500.0,1,63,2025-09-07,2.53,30,343,28,
973559869716279244,Liten oas nära centrum.,122803122,Cristiane,,Enskede-Årsta-Vantörs,59.29152,18.03257,Private room,424.0,1,4,2025-08-01,0.17,1,268,2,
